adm,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AL,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,48 hours
AK,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
AZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
AR,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
CA,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
CO,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
CT,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
DE,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,None,None,None,None,None,None,None,None,None,None,None
FL,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
GA,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
HI,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ID,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
IL,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
IN,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18 hours,18 hours,18 hours,18 hours,18 hours,18 hours,18 hours,18 hours,18 hours,18 hours,18 hours,18 hours,18 hours,18 hours,18 hours,18 hours,18 hours,18 hours,18 hours,18 hours
IA,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
KS,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
KY,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
LA,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
ME,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
MD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
MA,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
MI,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
MN,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
MS,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
MO,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,72 hours
MT,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
NE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
NV,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
NH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
NJ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
NM,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
NY,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours
ND,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
OH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
OK,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
OR,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PA,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
RI,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SC,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
SD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours
TN,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48 hours,48 hours,48 hours,48 hours,48 hours,48 hours,48 hours,48 hours,48 hours,48 hours,48 hours,48 hours,48 hours,None,None,None,None,None,None,None,None,None,None,None,None,None
TX,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
UT,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours,72 hours
VT,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
VA,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
WA,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
WV,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
WI,None,None,None,None,None,None,None,None,None,None,None,None,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours
WY,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None